alpha,n_iterations,n_reps,labeling,value
0.25,50,10,[ 20 5 11 26 24 38 1 23 21 16 17 10 29 6 14 4 30 2 36 33 28 7 34 19 37 31 13 25 9 8 15 12 39 22 35 27 3 18 32 ],8
0.25,50,10,[ 21 8 3 13 24 4 16 14 27 1 36 26 32 33 29 2 11 15 25 38 31 6 23 12 18 35 9 20 30 7 10 39 5 37 22 17 28 34 19 ],7
0.25,50,10,[ 9 27 21 17 31 22 34 19 18 11 23 32 20 29 30 1 15 7 16 26 25 36 10 12 4 13 14 28 24 39 38 33 2 3 37 8 35 5 6 ],8
0.25,50,10,[ 38 37 16 17 13 12 36 18 25 22 29 24 31 9 34 30 3 1 19 28 8 27 10 2 4 23 21 6 5 20 39 35 32 7 15 26 11 33 14 ],7
0.25,50,10,[ 15 9 1 37 17 34 31 33 25 4 30 16 20 13 19 18 24 11 3 39 22 8 2 35 7 23 5 27 29 38 10 36 32 28 21 26 12 14 6 ],7
0.25,50,10,[ 6 9 14 22 11 21 4 23 30 39 28 10 3 1 35 17 25 15 31 34 29 12 5 36 8 26 32 24 19 33 38 7 13 20 37 27 16 18 2 ],7
0.25,50,10,[ 28 11 36 23 18 38 6 14 31 34 39 17 25 2 22 16 37 32 7 3 8 33 24 4 15 20 30 5 13 35 9 19 21 10 1 27 12 26 29 ],7
0.25,50,10,[ 14 2 21 17 18 28 22 35 31 27 37 11 8 23 16 39 25 19 33 38 32 7 4 12 10 9 20 13 30 29 24 6 5 26 15 36 1 34 3 ],7
0.25,50,10,[ 33 3 8 9 23 18 6 29 34 31 7 5 19 16 22 39 28 35 25 13 32 21 15 27 24 36 20 12 26 2 37 17 4 11 38 30 1 10 14 ],7
0.25,100,10,[ 14 4 26 18 16 27 31 8 15 39 19 2 17 20 36 7 6 1 22 25 10 30 28 9 24 13 23 35 21 5 12 34 33 3 38 37 11 29 32 ],9
0.25,100,10,[ 10 15 39 3 36 28 34 22 37 9 25 20 27 32 11 7 33 4 23 21 30 13 35 8 19 12 16 29 26 1 24 14 18 31 5 2 38 17 6 ],8
0.25,100,10,[ 34 12 22 33 15 24 16 3 31 25 28 6 13 18 37 30 10 39 1 4 20 26 11 9 19 35 8 38 32 27 29 17 7 2 14 36 23 5 21 ],7
0.25,100,10,[ 24 21 2 27 20 6 26 4 28 10 13 17 29 22 25 5 11 3 14 15 35 36 31 19 16 37 23 32 7 8 1 34 12 18 38 9 33 30 39 ],7
0.25,100,10,[ 9 3 5 1 28 36 11 22 17 4 26 24 35 8 32 21 33 6 15 25 18 38 12 30 34 19 29 14 13 2 20 23 31 16 37 27 10 7 39 ],7
